Periodo, Nacional 
2022-12-01,5.1
2022-11-01,4.9
2022-10-01,6.3
2022-09-01,6.2
2022-08-01,7.000000000000001
2022-07-01,7.3999999999999995
2022-06-01,5.3
2022-05-01,5.1
2022-04-01,6.0
2022-03-01,6.7
2022-02-01,4.7
2022-01-01,3.9
2021-12-01,3.8
2021-11-01,2.5
2021-10-01,3.5000000000000004
2021-09-01,3.5000000000000004
2021-08-01,2.5
2021-07-01,3.0
2021-06-01,3.2
2021-05-01,3.3000000000000003
2021-04-01,4.1000000000000005
2021-03-01,4.8
2021-02-01,3.5999999999999996
2021-01-01,4.0
2020-12-01,4.0
2020-11-01,3.2
2020-10-01,3.8
2020-09-01,2.8000000000000003
2020-08-01,2.7
2020-07-01,1.9
2020-06-01,2.1999999999999997
2020-05-01,1.5
2020-04-01,1.5
2020-03-01,3.3000000000000003
2020-02-01,2.0
2020-01-01,2.3
2019-12-01,3.6999999999999997
2019-11-01,4.3
2019-10-01,3.3000000000000003
2019-09-01,5.8999999999999995
2019-08-01,4.0
2019-07-01,2.1999999999999997
2019-06-01,2.7
2019-05-01,3.1
2019-04-01,3.4000000000000004
2019-03-01,4.7
2019-02-01,3.8
2019-01-01,2.9000000000000004
2018-12-01,2.8000000000000003
2018-11-01,3.2
2018-10-01,5.4
2018-09-01,6.5
2018-08-01,3.9
2018-07-01,3.1
2018-06-01,3.6999999999999997
2018-05-01,2.1
2018-04-01,2.7
2018-03-01,2.3
2018-02-01,2.4
2018-01-01,1.7999999999999998
2017-12-01,3.1
2017-11-01,1.4000000000000001
2017-10-01,1.5
2017-09-01,1.9
2017-08-01,1.4000000000000001
2017-07-01,1.7000000000000002
2017-06-01,1.2
2017-05-01,1.4000000000000001
2017-04-01,2.7
2017-03-01,2.4
2017-02-01,2.1
2017-01-01,1.6
2016-12-01,1.6
2016-11-01,1.9
2016-10-01,2.9000000000000004
2016-09-01,0.8
2016-08-01,0.5
2016-07-01,2.4
2016-06-01,2.9000000000000004
2016-05-01,3.5000000000000004
2016-04-01,6.7
2016-03-01,3.2
2016-02-01,4.8
2016-01-01,3.5999999999999996
2015-12-01,3.8
2015-11-01,2.1999999999999997
2015-10-01,1.5
2015-09-01,1.9
2015-08-01,2.1999999999999997
2015-07-01,1.9
2015-06-01,1.5
2015-05-01,2.0
2015-04-01,2.0
2015-03-01,2.1
2015-02-01,1.5
2015-01-01,2.1
2014-12-01,1.9
2014-11-01,1.9
2014-10-01,2.3
2014-09-01,2.5
2014-08-01,2.7
2014-07-01,2.5
2014-06-01,2.1999999999999997
2014-05-01,2.3
2014-04-01,2.6
2014-03-01,3.4000000000000004
2014-02-01,4.3
2014-01-01,4.6
2013-12-01,3.3000000000000003
2013-11-01,2.4
2013-10-01,2.1
2013-09-01,2.1
2013-08-01,2.1
2013-07-01,2.6
2013-06-01,2.1999999999999997
2013-05-01,1.6
2013-04-01,1.4000000000000001
2013-03-01,1.5
2013-02-01,1.0999999999999999
2013-01-01,2.6
2012-12-01,2.0
2012-11-01,1.7999999999999998
2012-10-01,1.7000000000000002
2012-09-01,1.9
2012-08-01,1.9
2012-07-01,1.7999999999999998
2012-06-01,1.6
2012-05-01,1.7999999999999998
2012-04-01,2.1999999999999997
2012-03-01,2.3
2012-02-01,1.7999999999999998
2012-01-01,1.7999999999999998
2011-12-01,1.9
2011-11-01,1.5
2011-10-01,1.5
2011-09-01,1.7999999999999998
2011-08-01,1.9
2011-07-01,1.7000000000000002
2011-06-01,1.6
2011-05-01,1.3
2011-04-01,1.7999999999999998
2011-03-01,2.1
2011-02-01,1.5
2011-01-01,2.1
2010-12-01,0.8
2010-11-01,0.7000000000000001
2010-10-01,0.8
2010-09-01,0.7000000000000001
2010-08-01,0.7000000000000001
2010-07-01,0.8
2010-06-01,0.7000000000000001
2010-05-01,0.7000000000000001
2010-04-01,0.8
2010-03-01,1.0999999999999999
2010-02-01,1.2
2010-01-01,1.0
2009-12-01,0.8999999999999999
2009-11-01,0.8
2009-10-01,0.8
2009-09-01,0.7000000000000001
2009-08-01,0.8
2009-07-01,0.6
2009-06-01,0.4
2009-05-01,0.3
2009-04-01,0.3
2009-03-01,0.6
2009-02-01,0.4
2009-01-01,0.5
2008-12-01,0.3
2008-11-01,0.3
2008-10-01,0.4
2008-09-01,0.5
2008-08-01,0.5
2008-07-01,0.4
2008-06-01,0.6
2008-05-01,0.6
2008-04-01,0.8
2008-03-01,1.0999999999999999
2008-02-01,0.5
2008-01-01,0.8999999999999999
2007-12-01,0.8999999999999999
2007-11-01,0.8999999999999999
2007-10-01,0.7000000000000001
2007-09-01,0.8
2007-08-01,0.6
2007-07-01,0.5
2007-06-01,0.4
2007-05-01,0.4
2007-04-01,0.7000000000000001
2007-03-01,0.8
2007-02-01,0.3
2007-01-01,1.0999999999999999
2006-12-01,1.0
2006-11-01,0.7000000000000001
2006-10-01,0.8999999999999999
2006-09-01,0.8999999999999999
2006-08-01,0.6
2006-07-01,0.6
2006-06-01,0.5
2006-05-01,0.5
2006-04-01,1.0
2006-03-01,1.2
2006-02-01,0.4
2006-01-01,1.3
2005-12-01,1.0999999999999999
2005-11-01,1.2
2005-10-01,0.8
2005-09-01,1.2
2005-08-01,0.4
2005-07-01,1.0
2005-06-01,0.8999999999999999
2005-05-01,0.6
2005-04-01,0.5
2005-03-01,1.5
2005-02-01,0.8999999999999999
2005-01-01,1.5
2004-12-01,0.8
