,indice_tiempo,Tipo de cambio real multilateral,Tipo de cambio real multilateral(Var %),IPC general,IPC general(Var %)
0,2016-01-01,100.5521468298109,,,
1,2016-04-01,92.7968028673835,-0.0771275821246627,88.83,
2,2016-07-01,93.05420430107527,0.0027738179090028,94.21876666666668,0.0606638147772899
3,2016-10-01,90.56813261648745,-0.0267163821695168,98.68646666666666,0.0474183664047112
4,2017-01-01,88.98433563748081,-0.0174873538103436,103.79473333333333,0.0517625854811567
5,2017-04-01,84.6532724014337,-0.0486721983708652,110.50543333333331,0.0646535694489316
6,2017-07-01,91.73104659498206,0.0836089851315482,115.82953333333334,0.0481795314438537
7,2017-10-01,88.15036200716845,-0.0390345986525513,121.8106,0.0516368018979616
8,2018-01-01,95.20665514592932,0.0800483739157762,130.2696,0.0694438743426268
9,2018-04-01,101.09806093189964,0.0618801887004663,140.52540000000002,0.0787275005066416
10,2018-07-01,119.9815985663082,0.1867843701485891,156.59426666666667,0.1143484855169716
11,2018-10-01,121.86841935483872,0.0157259180664088,178.89,0.1423789887582089
12,2019-01-01,117.85372887864824,-0.0329428288103178,197.0837333333333,0.1017034676803247
13,2019-04-01,118.32157706093192,0.0039697359322878,218.64556666666667,0.1094044291157465
14,2019-07-01,122.9808100358423,0.0393777119156468,239.96123333333333,0.0974895900778229
15,2019-10-01,127.05211827956988,0.0331052319670119,270.7298333333333,0.1282232116104309
16,2020-01-01,118.49936967000372,-0.067316851740688,293.4852333333333,0.0840520592792692
17,2020-04-01,114.0585698924731,-0.0374753029480015,311.6688666666667,0.0619575749239855
18,2020-07-01,119.82420430107528,0.0505497694214265,331.75893333333335,0.0644596519425637
19,2020-10-01,121.3637698029291,0.0128485351589353,364.5444,0.0988231615566643
20,2021-01-01,122.46666666666664,0.0090875297094712,405.7949,0.1131563123723751
21,2021-04-01,117.86666666666667,-0.0375612411540552,456.48836666666665,0.1249238634262446
22,2021-07-01,112.6,-0.0446832579185521,500.0944,0.0955249608040396
23,2021-10-01,104.59999999999998,-0.0710479573712257,552.0825666666667,0.1039567063071826
24,2022-01-01,102.31626305683562,-0.0218330491698313,625.2638000000001,0.1325548708686508
25,2022-04-01,97.65374391004212,-0.0455696778546682,738.6209333333333,0.1812948923851551
26,2022-07-01,91.15387683749468,-0.0665603469185479,890.4746666666666,0.2055908876668719
27,2022-10-01,89.36166195677815,-0.0196614224528444,1060.0553333333337,0.1904385077022594
